,participant_id,valuable_experience,chance_of_job,program_community,broader_movement,mentor,next_generation_leaders,relationships_virtual_hybrid
465,716,Strongly Agree,Improved my chances quite a bit,Agree,Agree,Somewhat Agree,Strongly Agree,Agree
466,717,Moderately Agree,Improved my chances a great deal,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Agree,Strongly Agree
467,718,Moderately Agree,Improved my chances quite a bit,Agree,Agree,Strongly Agree,Agree,Strongly Agree
468,719,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
469,720,Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree
470,721,Agree,Improved my chances a great deal,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
471,722,Strongly Agree,Improved my chances a great deal,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree
472,723,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
473,724,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
474,725,Strongly Agree,Improved my chances quite a bit,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree
475,726,Neither Agree nor Disagree,Improved my chances a little,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Somewhat Agree,Neither Agree nor Disagree
476,727,Strongly Agree,Improved my chances a great deal,Agree,Agree,Neither Agree nor Disagree,Agree,Agree
477,728,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree
478,729,Strongly Agree,Improved my chances a great deal,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
479,730,Strongly Agree,Improved my chances quite a bit,Somewhat Agree,Agree,Agree,Agree,Agree
480,731,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Neither Agree nor Disagree
481,732,Neither Agree nor Disagree,Improved my chances a little,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree
482,733,Moderately Agree,Improved my chances quite a bit,Agree,Agree,Agree,Strongly Agree,Strongly Agree
483,734,Agree,Improved my chances a great deal,Strongly Agree,Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree
484,735,Neither Agree nor Disagree,Moderately improved my chances,Somewhat Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree
485,736,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
486,737,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
487,738,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
488,739,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
489,740,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
490,741,Strongly Agree,Improved my chances a great deal,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree
491,742,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
492,743,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
493,744,Disagree,Improved my chances a little,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
494,745,Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
495,746,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
496,747,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Agree,Agree,Strongly Agree
497,748,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree
498,749,Moderately Agree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree
499,750,Strongly Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Strongly Agree
500,751,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
501,752,Neither Agree nor Disagree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree
502,753,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
503,754,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
504,755,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree
505,756,Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree
506,757,Neither Agree nor Disagree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree
507,758,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
508,759,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
509,760,Neither Agree nor Disagree,Improved my chances a great deal,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree
510,761,Strongly Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree
511,762,Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
512,763,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
513,764,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
514,765,Strongly Agree,Improved my chances a great deal,Agree,Somewhat Agree,Neither Agree nor Disagree,Agree,Somewhat Agree
515,766,Agree,Moderately improved my chances,Somewhat Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree
516,767,Neither Agree nor Disagree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree
517,768,Moderately Disagree,Improved my chances a little,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
518,769,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
519,770,Strongly Agree,Improved my chances a great deal,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree
