ParticipantId- Prefill,Program,"We strive to ensure our community is diverse. Please respond to the following questions about your background, identity, and experiences to the extent you feel comfortable. If you do not want to provide this information, please select “I choose not to provide this information.”",African American/Black,"Please specify your selection, to the degree you feel necessary",Please specify,Asian American,"Please specify your selection, to the degree you feel necessary",Please specify,Latinx or Hispanic,"Please specify your selection, to the degree you feel necessary",Please specify,Native American,Would you prefer to specify your selection?,Please specify,Native Alaskan,Would you prefer to specify your selection?,Please specify,Native Hawaiian/Pacific Islander,"Please specify your selection, to the degree you feel necessary",Please specify,White/Caucasian,"Please specify your selection, to the degree you feel necessary",Please specify,Middle Eastern/North African,"Please specify your selection, to the degree you feel necessary",Please specify,Multi-ethnic/Multi-racial,Would you prefer to specify your selection?,Please specify,Other,Would you prefer to specify your selection?,Please specify,I choose not to provide information about the race/ethnicity I identify with.,What is your gender identity?,How likely would you be to recommend Program to a friend?,NPS Score,Program was one of the most valuable personal or professional development experiences I've ever had.,How much do you think Program has improved your chances of getting the job you want after graduation?,Which of the following changes did you experience while completing the Program Accelerator? Please select all that apply.,"I feel part of a larger Program community of Fellows, alumni, and supporters.",I see Program as more than just a course; I feel like I am part of a broader movement.,I have a mentor who encourages my goals and dreams.,I believe the next generation of leaders will emerge from everywhere.,I was able to build relationships with my cohort and coach while in a virtual/hybrid environment.
528,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
529,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Agree,Improved my chances a great deal,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Agree,Agree,Agree,Agree
530,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Other (please specify):,Ecuadorian,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
531,NATIONAL: Program Online Spring 2022,"I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).,I am an international student studying abroad in the United States for only 1-2 semesters.",,,,,,,Latinx or Hispanic,Dominican,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Agree,Agree,Agree
532,NATIONAL: Program Online Spring 2022,I identify as a person of color.,,,,,,,,,,,,,,,,,,,,,,Middle Eastern/North African,Other (please specify):,Palestinian,,,,,,,,Female,10(Extremely likely),10,Agree,Moderately improved my chances,"I expanded my professional network,I made new friends,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Strongly Agree,Agree,Somewhat Agree
533,NATIONAL: Program Online Spring 2022,"I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I gained a tangible plan for achieving my career goals,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
534,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my leadership abilities",Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree
535,BAY: San Jose Spring 2022,"I identify as a person of color.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,White/Caucasian,"English,Irish,Other (please specify):",Scottish,,,,,,,,,,,Male,7,7,Moderately Agree,Moderately improved my chances,"I expanded my professional network,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
536,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
537,BAY: San Jose Spring 2022,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Prefer to specify,Asian,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
538,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Agree,Strongly Agree,Agree
539,BAY: San Jose Spring 2022,"I identify as a person of color.,I am a graduate student.",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
540,BAY: San Jose Spring 2022,"I identify as a person of color.,I do receive or have received a Federal Pell Grant.",,,,Asian American,Asian Indian,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
541,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,"Puerto Rican,Salvadoran",,,,,,,,,,,,,,,,,Multi-ethnic/Multi-racial,Prefer not to specify,,,,,,Male,8,8,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
542,BAY: San Jose Spring 2022,"I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,,,,,,,,,,,,,White/Caucasian,English,,,,,,,,,,,,Male,9,9,Agree,Improved my chances quite a bit,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my interviewing skills",Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree
543,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,Asian American,Other (please specify):,Cambodian,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
544,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,"Mexican or Mexican American,Puerto Rican",,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
545,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Male,0 (Not at all likely),0,Neither Agree nor Disagree,Improved my chances a little,"I expanded my professional network,I made new friends,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile)",Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
546,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.",,,,Asian American,Other (please specify):,Cambodian,,,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Agree,Improved my chances a little,"I expanded my professional network,I made new friends,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree
547,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,Asian American,Vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
548,BAY: San Jose Spring 2022,None of the above,,,,,,,,,,,,,,,,,,,White/Caucasian,"German,Other (please specify):","Swedish, Danish, Scottish",,,,,,,,,,,Male,8,8,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Agree,Agree,Agree,Agree,Agree
549,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree
550,NATIONAL: Program Online Spring 2022,I identify as a person of color.,,,,,,,Latinx or Hispanic,"Mexican or Mexican American,Puerto Rican",,,,,,,,,,,,,,,,,,,,,,,,Female,7,7,Agree,Improved my chances quite a bit,"I expanded my professional network,I understood how to apply for an internship, job, or other career-accelerating opportunity",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
551,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Agree,Improved my chances a great deal,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree
552,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Dominican,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree
553,NYC: Lehman Spring 2022,"I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Prefer to specify,Asian,,Female,9,9,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile)",Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Agree,Somewhat Agree
554,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Other (please specify):,Honduran and Peruvian,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I understood how to apply for an internship, job, or other career-accelerating opportunity",Somewhat Disagree,Agree,Agree,Strongly Agree,Agree
555,NYC: Lehman Spring 2022,I choose not to provide this information.,,,,,,,Latinx or Hispanic,Prefer not to specify,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
556,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",,,,,,,Latinx or Hispanic,Dominican,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree
557,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
558,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Prefer to specify,Guyanese,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
559,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Somewhat Agree,Agree,Agree,Strongly Agree
560,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Other (please specify):,Guatemalan and Honduran,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
561,BAY: San Jose Spring 2022,I do receive or have received a Federal Pell Grant.,,,,,,,Latinx or Hispanic,Cuban,,,,,,,,,,,White/Caucasian,German,,,,,,,,,,,,Female,1,1,Moderately Disagree,Did not improve my chances at all,"I expanded my professional network,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree
562,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Agree,Improved my chances a great deal,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Agree,Somewhat Agree,Agree,Agree
563,BAY: San Jose Spring 2022,"I identify as having grown up in a low-income community.,I am a graduate student.",,,,,,,,,,,,,,,,,,,White/Caucasian,Other (please specify):,Welsh,,,,,,,,,,,Male,8,8,Neither Agree nor Disagree,Moderately improved my chances,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree
564,BAY: San Jose Spring 2022,None of the above,,,,,,,,,,,,,,,,,,,,,,Middle Eastern/North African,Other (please specify):,Assyrian,,,,,,,,Female,6,6,Neither Agree nor Disagree,Moderately improved my chances,"I expanded my professional network,I explored my career options and defined my career goals,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
565,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Dominican,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Agree,Improved my chances a great deal,"I expanded my professional network,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my leadership abilities",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree
566,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my interviewing skills,I improved my leadership abilities",Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree
567,BAY: San Jose Spring 2022,"I identify as a person of color.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,Asian American,"Chinese,Vietnamese",,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
568,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Male,8,8,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
569,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Agree,Improved my chances a great deal,"I expanded my professional network,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Agree
570,NYC: Lehman Spring 2022,"I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,"Dominican,Other (please specify):",ecuadorian,,,,,,,,,,,,,,,,,,,,,,,Female,8,8,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I improved my interviewing skills",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
571,BAY: San Jose Spring 2022,None of the above,,,,,,,,,,,,,,,,,,,White/Caucasian,Prefer not to specify,,,,,,,,,,,,Male,9,9,Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Somewhat Agree,Agree,Agree,Agree
